Pronomen,Verben,Translation
wir,gehorchen,obey
ihr,gehorcht,obey
sie/Sie,gehorchen,obey
infinitiv,agieren,act
ich,agiere,act
du,agierst,act
er/sie/es,agiert,acts
wir,agieren,act
ihr,agiert,act
sie/Sie,agieren,act
infinitiv,erwerben,obtain
ich,erwerbe,obtain
du,erwirbst,obtain
er/sie/es,erwirbt,obtains
wir,erwerben,obtain
ihr,erwerbt,obtain
sie/Sie,erwerben,obtain
infinitiv,absolvieren,complete
ich,absolviere,complete
du,absolvierst,complete
er/sie/es,absolviert,completes
wir,absolvieren,complete
ihr,absolviert,complete
sie/Sie,absolvieren,complete
infinitiv,hupen,beep
ich,hupe,beep
du,hupst,beep
er/sie/es,hupt,beeps
wir,hupen,beep
ihr,hupt,beep
sie/Sie,hupen,beep
infinitiv,umsetzen,implement
ich,setze um,implement
du,setzt um,implement
er/sie/es,setzt um,implements
wir,setzen um,implement
ihr,setzt um,implement
sie/Sie,setzen um,implement
infinitiv,umbesetzen,reassign
ich,besetze um,reassign
du,besetzt um,reassign
er/sie/es,besetzt um,reassigns
wir,besetzen um,reassign
ihr,besetzt um,reassign
sie/Sie,besetzen um,reassign
infinitiv,vereinbaren,arrange
ich,vereinbare,arrange
du,vereinbarst,arrange
er/sie/es,vereinbart,arranges
wir,vereinbaren,arranges
ihr,vereinbart,arranges
sie/Sie,vereinbaren,arranges
infinitiv,verweigern,refuse
ich,verweigere,refuse
du,verweigerst,refuse
er/sie/es,verweigert,refuses
wir,verweigern,refuse
ihr,verweigert,refuse
sie/Sie,verweigern,refuse
infinitiv,beschleunigen,accelerate
ich,beschleunige,accelerate
du,beschleunigst,accelerate
er/sie/es,beschleunigt,accelerates
wir,beschleunigen,accelerate
ihr,beschleunigt,accelerate
sie/Sie,beschleunigen,accelerate
infinitiv,erschrecken,frighten
ich,erschrecke,frighten
du,erschreckst,frighten
er/sie/es,erschreckt,frightens
wir,erschrecken,frighten
ihr,erschreckt,frighten
sie/Sie,erschrecken,frighten
infinitiv,verscheuchen,scare
ich,verscheuche,scare
du,verscheuchst,scare
er/sie/es,verscheucht,scares
wir,verscheuchen,scare
ihr,verscheucht,scare
sie/Sie,verscheuchen,scare
iinfinitiv,ankündigen,anounce
ich,kündige an,anounce
du,kündigst an,anounce
er/sie/es,kündigt an,anounces
wir,kündigen an,anounce
ihr,kündigt an,anounce
sie/Sie,kündigen an,anounce
infinitiv,duften,smell nice
ich,dufte,smell nice
du,duftest,smell nice
er/sie/es,duftet,smells nice
wir,duften,smell nice
ihr,duftet,smell nice
sie/Sie,duften,smell nice
infinitiv,abweisen,reject
ich,weise ab,reject
du,weist ab,reject
er/sie/es,weist ab,rejects
wir,weisen ab,reject
ihr,weist ab,reject
sie/Sie,weisen ab,reject
infinitiv,abhängen,depend
ich,hänge ab,depend
du,hängst ab,depend
er/sie/es,hängt ab,depends
wir,hängen ab,depend
ihr,hängt ab,depend
sie/Sie,hängen ab,depend
infinitiv,gewähren,grant
ich,gewähre,grant
du,gewährst,grant
er/sie/es,gewährt,grants
wir,gewähren,grant
ihr,gewährt,grant
sie/Sie,gewähren,grant
infinitiv,zählen,count
ich,zähle,count
du,zählst,count
er/sie/es,zählt,counts
wir,zählen,count
ihr,zählt,count
sie/Sie,zählen,count
infinitiv,anspucken,spit
ich,spucke an,spit
du,spuckst an,spit
er/sie/es,spuckt an,spits
wir,spucken an,spit
ihr,spuckt an,spit
sie/Sie,spucken an,spit
infinitiv,beraten,advise
ich,berate,advise
du,berätst,advise
er/sie/es,berät,advises
wir,beraten,advise
ihr,beratet,advise
sie/Sie,beraten,advise
infinitiv,eisen,iron
ich,eise,iron
du,eist,iron
er/sie/es,eist,irons
wir,eisen,iron
ihr,eist,iron
sie/Sie,eisen,iron
infinitiv,reinigen,cleanse
ich,reinige,cleanse
du,reinigst,cleanse
er/sie/es,reinigt,cleanses
wir,reinigen,cleanse
ihr,reinigt,cleanse
sie/Sie,reinigen,cleanse
infinitiv,aufbewahren,keep
ich,bewahre auf,keep
du,bewahrst auf,keep
er/sie/es,bewahrt auf,keeps
wir,bewahren auf,keep
ihr,bewahrt auf,keep
sie/Sie,bewahren auf,keep
infinitiv,anschließen,connect
ich,schließe an,connect
du,schließt an,connect
er/sie/es,schließt an,connects
wir,schließen an,connect
ihr,schließt an,connect
sie/Sie,schließen an,connect
infinitiv,überwältigen,overwhelm
ich,überwältige,overwhelm
du,überwältigst,overwhelm
er/sie/es,überwältigt,overwhelms
wir,überwältigen,overwhelm
ihr,überwältigt,overwhelm
sie/Sie,überwältigen,overwhelm
infinitiv,beherrschen,dominate
ich,beherrsche,dominate
du,beherrschst,dominate
er/sie/es,beherrscht,dominates
wir,beherrschen,dominate
ihr,beherrscht,dominate
sie/Sie,beherrschen,dominate
infinitiv,beeinträchtigen,affect
ich,beeinträchtige,affect
du,beeinträchtigst,affect
er/sie/es,beeinträchtigt,affects
wir,beeinträchtigen,affect
ihr,beeinträchtigt,affect
sie/Sie,beeinträchtigen,affect
infinitiv,verabscheuen,detest
ich,verabscheue,detest
du,verabscheust,detest
er/sie/es,verabscheut,detests
wir,verabscheuen,detest
ihr,verabscheut,detest
sie/Sie,verabscheuen,detest
infinitiv,besetzen,ocuppy
ich,besetze,ocuppy
du,besetzt,ocuppy
er/sie/es,besetzt,ocuppies
wir,besetzen,ocuppy
ihr,besetzt,ocuppy
sie/Sie,besetzen,ocuppy
infinitiv,vertuschen,cover up
ich,vertusche,cover up
du,vertuschst,cover up
er/sie/es,vertuscht,covers up
wir,vertuschen,cover up
ihr,vertuscht,cover up
sie/Sie,vertuschen,cover up
infinitiv,abreißen,demolish
ich,reiße ab,demolish
du,reißt ab,demolish
er/sie/es,reißt ab,demolishes
wir,reißen ab,demolish
ihr,reißt ab,demolish
sie/Sie,reißen ab,demolish
infinitiv,verschonen,spare
ich,verschone,spare
du,verschonst,spare
er/sie/es,verschont,spares
wir,verschonen,spare
ihr,verschont,spare
sie/Sie,verschonen,spare
infinitiv,auflösen,disolve
ich,löse auf,disolve
du,löst auf,disolve
er/sie/es,löst auf,disolves
wir,lösen auf,disolve
ihr,löst auf,disolve
sie/Sie,lösen auf,disolve
infinitiv,verzögern,delay
ich,verzögere,delay
du,verzögerst,delay
er/sie/es,verzögert,delays
wir,verzögern,delay
ihr,verzögert,delay
sie/Sie,verzögern,delay
infinitiv,wackeln,waggle
ich,wackle,waggle
du,wackelst,waggle
er/sie/es,wackelt,waggles
wir,wackeln,waggle
ihr,wackelt,waggle
sie/Sie,wackeln,waggle
infinitiv,weigern sich,refuse
ich,weigere mich,refuse
du,weigerst dich,refuse
er/sie/es,weigert sich,refuses
wir,weigern uns,refuse
ihr,weigert euch,refuse
sie/Sie,weigern sich,refuse
infinitiv,erwischen,catch
ich,erwische,catch
du,erwischst,catch
er/sie/es,erwischt,catches
wir,erwischen,catch
ihr,erwischt,catch
sie/Sie,erwischen,catch
infinitiv,weichen,give away
ich,weiche,give away
du,weichst,give away
er/sie/es,weicht,gives away
wir,weichen,give away
ihr,weicht,give away
sie/Sie,weichen,give away
infinitiv,rechnen,expect
ich,rechne,expect
du,rechnest,expect
er/sie/es,rechnet,expects
wir,rechnen,expect
ihr,rechnet,expect
sie/Sie,rechnen,expect
infinitiv,ausbreiten,spread
ich,breite aus,spread
du,breitest aus,spread
er/sie/es,breitet aus,spreads
wir,breiten aus,spread
ihr,breitet aus,spread
sie/Sie,breiten aus,spread
infinitiv,erschießen,shoot
ich,erschieße,shoot
du,erschießt,shoot
er/sie/es,erschießt,shoots
wir,erschießen,shoot
ihr,erschießt,shoot
sie/Sie,erschießen,shoot
infinitiv,jucken,itch
ich,jucke,itch
du,juckst,itch
er/sie/es,juckt,itches
wir,jucken,itch
ihr,juckt,itch
sie/Sie,jucken,itch
infinitiv,nacheifern,emulate
ich,eifere nach,emulate
du,eiferst nach,emulate
er/sie/es,eifert nach,emulates
wir,eifern nach,emulate
ihr,eifert nach,emulate
sie/Sie,eifern nach,emulate
infinitiv,betrügen,cheat
ich,betrüge,cheat
du,betrügst,cheat
er/sie/es,betrügt,cheat
wir,betrügen,cheat
ihr,betrügt,cheat
sie/Sie,betrügen,cheat
infinitiv,verpflichten,obligate
ich,verpflichte,obligate
du,verpflichtest,obligate
er/sie/es,verpflichtet,obligate
wir,verpflichten,obligate
ihr,verpflichtet,obligate
sie/Sie,verpflichten,obligate
infinitiv,wandern,hike
ich,wandere,hike
du,wanderst,hike
er/sie/es,wandert,hikes
wir,wandern,hike
ihr,wandert,hike
sie/Sie,wandern,hike
infinitiv,widmen,devote
ich,widme,devote
du,widmest,devote
er/sie/es,widmet,devotes
wir,widmen,devote
ihr,widmet,devote
sie/Sie,widmen,devote
infinitiv,vergeben,forgive
ich,vergebe,forgive
du,vergibst,forgive
er/sie/es,vergibt,forgives
wir,vergeben,forgive
ihr,vergebt,forgive
sie/Sie,vergeben,forgive
infinitiv,zittern,shake
ich,zittere,shake
du,zitterst,shake
er/sie/es,zittert,shakes
wir,zittern,shake
ihr,zittert,shake
sie/Sie,zittern,shake
